,,0.0000000,0.00,0.00,0,0.00,0,NaN,0.00,0.0,0.0,0.00,0.0000000,0.0000000,4,0,4,34756400,4294967296,52428800,Alice,0,8,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000000,0.0000000,0.0000000,2019-05-13 09:38:54 UTC,0.0,0.00,3000,
,,0.0000000,105250.95,22203.58,100,58.82,6,0.9107,17.84,3.5,3.3,237.19,0.0000000,0.0000000,4,0,4,67500488,4294967296,104857600,Alice,18,8,7.967,10,0.031,0.292,0.001,0.036,0.287,0.251,0.144,0.092,2.666667,30.4668492,34.4385734,2019-05-13 09:38:57 UTC,0.9,221.15,3000,
,,0.0000000,113530.16,21113.40,100,75.02,6,NaN,17.27,3.7,3.7,301.35,0.0000000,0.0000000,4,0,4,42193488,4294967296,125829120,Alice,11,8,10.616,29,0.029,0.261,0.001,0.033,0.262,0.229,0.130,0.082,2.500000,40.7935753,37.3101846,2019-05-13 09:39:00 UTC,0.7,210.90,3000,
,,0.0000000,115948.83,20746.79,100,80.55,6,NaN,17.39,3.7,3.8,322.16,0.0000000,0.0000000,4,0,4,23891184,4294967296,125829120,Alice,9,8,11.392,48,0.028,0.256,0.000,0.032,0.256,0.224,0.127,0.080,2.666667,41.9102764,40.5826725,2019-05-13 09:39:03 UTC,0.6,207.44,3000,
,,0.0000000,117925.59,20547.05,100,83.90,6,NaN,18.37,3.8,3.8,335.80,0.0000000,0.0000000,4,0,4,35536104,4294967296,125829120,Alice,7,8,11.864,68,0.028,0.252,0.000,0.031,0.251,0.220,0.124,0.079,2.750000,44.6288930,40.7294623,2019-05-13 09:39:06 UTC,0.6,205.38,3000,
,,0.0000000,118043.99,20447.01,100,85.91,6,NaN,18.91,3.9,3.8,344.41,0.0000000,0.0000000,4,0,4,68916016,4294967296,125829120,Alice,6,8,12.146,88,0.028,0.249,0.000,0.031,0.249,0.218,0.123,0.078,2.733920,45.0006898,42.1385118,2019-05-13 09:39:09 UTC,0.6,204.52,3000,
,,0.0000000,119452.01,20360.24,100,88.03,6,NaN,19.16,3.9,3.8,352.36,0.0000000,0.0000000,4,0,4,30538888,4294967296,125829120,Alice,5,8,12.419,110,0.028,0.247,0.000,0.030,0.246,0.215,0.122,0.077,2.784932,44.7333495,44.2325234,2019-05-13 09:39:12 UTC,0.6,203.73,3000,
,,0.0000000,123231.00,20285.17,100,91.25,6,NaN,19.64,3.9,3.9,364.73,0.0000000,0.0000000,4,0,4,47693888,4294967296,125829120,Alice,5,8,12.884,137,0.027,0.240,0.000,0.030,0.240,0.210,0.118,0.075,2.766698,45.3161374,46.6961431,2019-05-13 09:39:15 UTC,0.6,202.77,3000,
,,0.0000000,127109.30,20241.04,100,94.57,6,NaN,19.55,3.9,3.9,378.02,0.0000000,0.0000000,4,0,4,46120136,4294967296,125829120,Alice,4,8,13.338,167,0.026,0.234,0.000,0.029,0.234,0.205,0.115,0.073,2.625272,46.3324130,48.9152695,2019-05-13 09:39:18 UTC,0.5,202.34,3000,
,,0.0000000,127926.49,20185.90,100,96.87,6,NaN,19.67,3.9,4.0,386.52,0.0000000,0.0000000,4,0,4,47997216,4294967296,125829120,Alice,4,8,13.641,200,0.026,0.231,0.000,0.028,0.230,0.202,0.114,0.072,2.696455,48.5804304,48.7736146,2019-05-13 09:39:21 UTC,0.5,201.77,3000,
,,0.0000000,129128.50,20149.20,100,97.82,6,NaN,19.80,4.0,3.9,391.19,0.0000000,0.0000000,4,0,4,48097120,4294967296,125829120,Alice,3,8,13.767,235,0.025,0.229,0.000,0.028,0.229,0.200,0.113,0.071,2.754004,48.9170305,49.3693618,2019-05-13 09:39:24 UTC,0.5,201.77,3000,
,,0.0000000,128541.22,20122.14,100,98.03,6,NaN,19.58,4.0,4.0,391.73,0.0000000,0.0000000,4,0,4,28201232,4294967296,125829120,Alice,3,8,13.729,271,0.026,0.230,0.000,0.028,0.230,0.201,0.114,0.072,2.733052,49.0348292,49.3696440,2019-05-13 09:39:27 UTC,0.5,201.20,3000,
,,0.0000000,127759.74,20081.11,100,97.75,6,NaN,19.81,4.0,4.0,390.94,0.0000000,0.0000000,4,0,4,47507560,4294967296,125829120,Alice,3,8,13.705,308,0.026,0.231,0.000,0.028,0.231,0.203,0.115,0.072,2.661926,48.3596625,49.6310652,2019-05-13 09:39:30 UTC,0.5,201.01,3000,
,,0.0000000,128714.77,20093.08,100,99.01,6,NaN,19.53,3.9,4.0,394.72,0.0000000,0.0000000,4,0,4,35571488,4294967296,125829120,Alice,3,8,13.879,346,0.025,0.228,0.000,0.028,0.229,0.201,0.114,0.071,2.667132,49.6573847,49.5240944,2019-05-13 09:39:33 UTC,0.5,200.88,3000,
,,0.0000000,127593.64,20040.78,100,98.41,6,NaN,19.42,3.9,4.0,392.63,0.0000000,0.0000000,4,0,4,27516496,4294967296,125829120,Alice,2,8,13.821,385,0.026,0.230,0.000,0.028,0.231,0.202,0.115,0.072,2.729920,48.8421488,49.7915465,2019-05-13 09:39:36 UTC,0.5,200.61,3000,
,,0.0000000,127111.69,20074.36,100,97.88,6,NaN,19.84,4.0,4.0,391.75,0.0000000,0.0000000,4,0,4,60583752,4294967296,181403648,Alice,2,8,13.730,424,0.026,0.232,0.000,0.029,0.232,0.204,0.115,0.072,2.650842,48.6977350,49.2919546,2019-05-13 09:39:39 UTC,0.5,200.65,3000,
,,0.0000000,128873.93,20043.80,100,98.87,6,NaN,19.67,4.0,4.0,396.73,0.0000000,0.0000000,4,0,4,120280072,4294967296,218103808,Alice,2,8,13.963,464,0.025,0.230,0.000,0.028,0.229,0.201,0.114,0.071,2.406991,50.3646240,48.6724151,2019-05-13 09:39:42 UTC,0.5,200.44,3000,
,,0.0000000,129694.62,20049.15,100,99.34,6,NaN,19.20,4.0,4.0,398.77,0.0000000,0.0000000,4,0,4,123352976,4294967296,218103808,Alice,2,8,14.087,504,0.025,0.228,0.000,0.028,0.228,0.200,0.113,0.071,2.397519,50.3635203,49.0395679,2019-05-13 09:39:45 UTC,0.5,200.42,3000,
,,0.0000000,132456.78,20043.17,100,100.26,6,NaN,19.24,4.0,4.0,404.01,0.0000000,0.0000000,4,0,4,111402104,4294967296,218103808,Alice,2,8,14.257,545,0.025,0.226,0.000,0.028,0.225,0.197,0.111,0.070,2.394035,49.1595456,51.2045352,2019-05-13 09:39:48 UTC,0.5,200.32,3000,
