,,0.0000000,97948.07,22180.15,100,58.10,6,NaN,12.82,3.0,3.2,236.89,0.0000000,0.0000000,4,1,4,67334184,4294967296,104857600,Bob,25,8,7.957,10,0.028,0.291,0.001,0.035,0.289,0.253,0.143,0.094,2.666667,37.4331329,33.4555641,2019-05-13 09:38:57 UTC,0.9,221.22,3000,
,,0.0000000,110000.62,21089.28,100,74.50,6,NaN,16.29,3.5,3.5,300.92,0.0000000,0.0000000,4,1,4,42193488,4294967296,125829120,Bob,16,8,10.613,29,0.027,0.265,0.001,0.033,0.263,0.230,0.131,0.083,2.000000,34.9795604,45.9193739,2019-05-13 09:39:00 UTC,0.7,210.66,3000,
,,0.0000000,112528.67,20722.00,100,79.83,6,NaN,16.43,3.6,3.6,321.61,0.0000000,0.0000000,4,1,4,23886128,4294967296,125829120,Bob,12,8,11.385,48,0.027,0.258,0.000,0.032,0.256,0.224,0.127,0.081,2.111111,41.1071316,43.0954356,2019-05-13 09:39:03 UTC,0.6,207.07,3000,
,,0.0000000,115921.53,20534.04,100,83.84,6,NaN,16.78,3.7,3.7,335.59,0.0000000,0.0000000,4,1,4,35142776,4294967296,125829120,Bob,10,8,11.856,68,0.027,0.253,0.000,0.031,0.251,0.220,0.125,0.079,2.166667,41.3674700,45.6778501,2019-05-13 09:39:06 UTC,0.6,205.25,3000,
,,0.0000000,116795.41,20437.79,100,86.00,6,NaN,16.65,3.7,3.8,344.19,0.0000000,0.0000000,4,1,4,68908000,4294967296,125829120,Bob,8,8,12.141,88,0.027,0.251,0.000,0.031,0.250,0.219,0.125,0.078,2.334825,41.8693816,46.7552666,2019-05-13 09:39:09 UTC,0.6,204.42,3000,
,,0.0000000,118638.42,20338.22,100,87.89,6,NaN,17.50,3.8,3.8,351.80,0.0000000,0.0000000,4,1,4,29931720,4294967296,125829120,Bob,7,8,12.414,111,0.027,0.247,0.000,0.030,0.246,0.216,0.123,0.077,2.393993,42.6282450,47.3350400,2019-05-13 09:39:12 UTC,0.6,203.31,3000,
,,0.0000000,125179.63,20291.62,100,91.06,6,NaN,17.55,3.8,3.9,364.67,0.0000000,0.0000000,4,1,4,44954616,4294967296,125829120,Bob,6,8,12.879,137,0.026,0.240,0.000,0.029,0.240,0.210,0.119,0.075,2.386884,44.3288060,48.4048874,2019-05-13 09:39:15 UTC,0.6,202.83,3000,
,,0.0000000,128410.88,20227.72,100,94.61,6,NaN,18.14,3.8,3.9,378.12,0.0000000,0.0000000,4,1,4,42739384,4294967296,125829120,Bob,5,8,13.334,168,0.025,0.234,0.000,0.029,0.234,0.205,0.116,0.073,2.372315,46.8596783,49.1693353,2019-05-13 09:39:18 UTC,0.5,202.27,3000,
,,0.0000000,129867.60,20195.15,100,96.37,6,NaN,19.28,3.9,3.9,386.50,0.0000000,0.0000000,4,1,4,45824648,4294967296,125829120,Bob,5,8,13.637,201,0.025,0.231,0.000,0.028,0.231,0.202,0.114,0.072,2.365096,47.0257217,50.4273136,2019-05-13 09:39:21 UTC,0.5,201.85,3000,
,,0.0000000,129937.00,20152.37,100,97.73,6,NaN,19.61,3.9,4.0,391.05,0.0000000,0.0000000,4,1,4,45884144,4294967296,125829120,Bob,4,8,13.764,235,0.025,0.229,0.000,0.028,0.229,0.201,0.114,0.071,2.417875,47.5932345,51.0875882,2019-05-13 09:39:24 UTC,0.5,201.59,3000,
,,0.0000000,129028.68,20126.07,100,97.91,6,NaN,19.21,3.9,4.0,391.68,0.0000000,0.0000000,4,1,4,24556808,4294967296,125829120,Bob,4,8,13.727,272,0.025,0.230,0.000,0.028,0.230,0.201,0.114,0.072,2.469317,48.8773777,49.8049816,2019-05-13 09:39:27 UTC,0.5,201.22,3000,
,,0.0000000,128336.78,20078.49,100,97.79,6,NaN,19.33,3.9,4.0,390.90,0.0000000,0.0000000,4,1,4,43780480,4294967296,125829120,Bob,3,8,13.703,309,0.025,0.231,0.000,0.028,0.231,0.202,0.115,0.072,2.569692,48.5226821,49.8355716,2019-05-13 09:39:30 UTC,0.5,200.70,3000,
,,0.0000000,130688.94,20098.00,100,98.60,6,NaN,19.79,4.0,4.0,394.75,0.0000000,0.0000000,4,1,4,31389504,4294967296,125829120,Bob,3,8,13.879,347,0.025,0.229,0.000,0.028,0.229,0.200,0.113,0.071,2.650977,48.4367800,50.6058079,2019-05-13 09:39:33 UTC,0.5,200.88,3000,
,,0.0000000,128923.79,20059.99,100,98.23,6,NaN,19.88,4.0,4.0,392.95,0.0000000,0.0000000,4,1,4,22183560,4294967296,125829120,Bob,3,8,13.819,385,0.025,0.230,0.000,0.028,0.230,0.201,0.114,0.072,2.716845,48.2331665,50.3614802,2019-05-13 09:39:36 UTC,0.5,200.52,3000,
,,0.0000000,128178.64,20051.34,100,98.11,6,NaN,20.05,4.0,4.0,391.58,0.0000000,0.0000000,4,1,4,57283040,4294967296,181403648,Bob,2,8,13.728,424,0.026,0.231,0.000,0.028,0.232,0.203,0.114,0.072,2.581670,48.7717778,49.6165340,2019-05-13 09:39:39 UTC,0.5,200.42,3000,
,,0.0000000,131008.50,20042.32,100,99.43,6,NaN,19.57,4.0,4.0,396.64,0.0000000,0.0000000,4,1,4,116876584,4294967296,218103808,Bob,2,8,13.962,464,0.025,0.228,0.000,0.028,0.229,0.200,0.113,0.071,2.597790,47.8865063,51.7747613,2019-05-13 09:39:42 UTC,0.5,200.35,3000,
,,0.0000000,130630.97,20033.71,100,100.04,6,NaN,19.83,4.0,4.0,398.38,0.0000000,0.0000000,4,1,4,116825944,4294967296,218103808,Bob,2,8,14.085,505,0.025,0.227,0.000,0.028,0.227,0.199,0.112,0.071,2.485154,49.5434673,50.6776708,2019-05-13 09:39:45 UTC,0.5,200.25,3000,
,,0.0000000,131572.04,20027.82,100,101.56,6,NaN,19.91,4.0,4.0,403.71,0.0000000,0.0000000,4,1,4,106761896,4294967296,218103808,Bob,2,8,14.254,546,0.025,0.224,0.000,0.028,0.225,0.197,0.111,0.070,2.393776,50.3700578,51.3899827,2019-05-13 09:39:48 UTC,0.5,200.37,3000,
